OBJECTID,ORIG_FID,Shape_Length,Z,Longitude,Latitude
587,20,0,259.9887361,-116.0220751,32.71877509
588,20,0,259.9921412,-116.0221597,32.71871002
589,20,0,259.997011,-116.0222487,32.71865184
590,20,0,260.0086559,-116.0223517,32.71862375
591,20,0,260.0001351,-116.0224572,32.71861169
592,20,0,259.9251183,-116.0225577,32.7186434
593,20,0,260.1456759,-116.0226617,32.71863132
594,20,0,260.0001078,-116.0227624,32.71859977
595,20,0,260.0060793,-116.0228671,32.71857927
596,20,0,259.979155,-116.0229243,32.71850825
597,20,0,260.0025095,-116.0230012,32.71845017
598,20,0,259.9721885,-116.0230964,32.71840258
599,20,0,260,-116.0231367,32.71837963
600,21,0,250.0000002,-116.0257103,32.72226852
601,21,0,250.0993338,-116.0256693,32.72227415
602,21,0,249.9584396,-116.0257021,32.72229258
603,21,0,250.0000002,-116.0257103,32.72226852
604,22,0,189.9999999,-116.0056297,32.72291667
605,22,0,190.0007285,-116.005735,32.72289862
606,22,0,190.0083745,-116.0058406,32.72289436
607,22,0,190.0035749,-116.0058919,32.72294116
608,22,0,189.9995632,-116.005838,32.72302955
609,22,0,190.0028409,-116.0057592,32.72309929
610,22,0,190.0082562,-116.0056786,32.72316469
611,22,0,190.0004047,-116.0055867,32.7231803
612,22,0,189.9963493,-116.005522,32.72309881
613,22,0,189.9990869,-116.0055719,32.7230057
614,22,0,189.999681,-116.0056266,32.72291844
615,22,0,189.9999999,-116.0056297,32.72291667
616,23,0,280.0000002,-116.0263426,32.72388186
617,23,0,279.9991883,-116.026244,32.72384371
618,23,0,280.000032,-116.0262029,32.72374596
619,23,0,279.9875422,-116.026173,32.72364363
620,23,0,279.9998663,-116.0261708,32.72353678
621,23,0,279.9943079,-116.0261796,32.72343099
622,23,0,279.6941746,-116.0262085,32.72333815
623,24,0,230.0000004,-116.0242205,32.72412037
624,24,0,230.031844,-116.024217,32.72413148
625,24,0,230.0000004,-116.0242205,32.72412037
626,25,0,270.0000001,-116.0265278,32.72447113
627,25,0,270.0110747,-116.0264212,32.72447771
628,25,0,269.9999942,-116.0263152,32.72449083
629,25,0,269.9999892,-116.0262084,32.72449151
630,25,0,269.9917288,-116.0261049,32.72447055
631,25,0,270.0003162,-116.0260445,32.72438954
632,25,0,269.9957977,-116.026009,32.72428958
633,25,0,269.9671794,-116.0259557,32.72419707
634,25,0,269.9900973,-116.0259003,32.72410609
635,25,0,270.0142889,-116.0258506,32.72401217
636,25,0,269.9996335,-116.0258242,32.72390868
637,25,0,269.9994512,-116.0258055,32.72380346
638,25,0,269.9967666,-116.0258025,32.72369727
639,25,0,269.999728,-116.0258176,32.72359151
640,25,0,269.9978691,-116.0258463,32.72348875
641,25,0,269.9943904,-116.0258692,32.72338442
642,25,0,270.0116545,-116.0258924,32.72328011
643,25,0,269.9941745,-116.0259116,32.72317525
644,25,0,269.9931279,-116.0259471,32.72307452
645,25,0,270.0062333,-116.0259949,32.72297904
646,25,0,270.0020142,-116.0260485,32.72288661
647,25,0,269.9999998,-116.0260648,32.72285431
648,26,0,210.0000002,-116.0195014,32.7250463
649,26,0,210.129349,-116.0194777,32.72507092
650,26,0,210.0000002,-116.0195014,32.7250463
651,27,0,260.0000003,-116.026713,32.72515727
652,27,0,260.0003873,-116.026623,32.72521495
653,27,0,259.9992233,-116.0265264,32.72526023
654,27,0,260.0027621,-116.0264316,32.72530916
655,27,0,260.0058124,-116.0263277,32.72533235
656,27,0,260.0008046,-116.0262232,32.7253215
657,27,0,259.9779808,-116.0261377,32.72525842
658,27,0,259.9937996,-116.026096,32.72516119
659,27,0,260.0818933,-116.0260461,32.72506837
660,27,0,260.0137694,-116.0259413,32.72505616
661,27,0,259.9968113,-116.0258356,32.72505224
662,27,0,259.9887861,-116.0257563,32.72498921
663,27,0,259.9757877,-116.0257499,32.72488895
664,27,0,259.9786393,-116.0257704,32.72478408
665,27,0,260.0010628,-116.0257827,32.72467799
666,27,0,259.9980548,-116.0257631,32.72457303
667,27,0,259.9976177,-116.0257335,32.72447034
668,27,0,260.0006869,-116.0256953,32.72437087
669,27,0,259.9965396,-116.0256532,32.72427294
670,27,0,260.0012096,-116.0256184,32.72417186
671,27,0,259.9979982,-116.0255895,32.72406948
672,27,0,260.000061,-116.025557,32.72396855
673,27,0,260.0041055,-116.0255298,32.72386587
674,27,0,259.9925717,-116.025502,32.72376283
675,27,0,259.9999402,-116.0254859,32.72365729
676,27,0,259.9960327,-116.0255009,32.72355146
677,27,0,260.0034217,-116.0255241,32.7234474
678,27,0,259.9994071,-116.0255587,32.72334631
679,27,0,259.9990964,-116.0255833,32.7232426
680,27,0,260.001625,-116.0255956,32.72313653
681,27,0,259.9956101,-116.0256074,32.72303039
682,27,0,260.0012312,-116.0256459,32.72293147
683,27,0,259.9951898,-116.0256897,32.72283401
684,27,0,260.0017629,-116.0257275,32.72273412
685,27,0,260.0040338,-116.0257418,32.72262962
686,27,0,260.0176083,-116.0257718,32.72252943
687,27,0,260.0151585,-116.0257994,32.72242699
688,27,0,259.979616,-116.0258316,32.72232919
689,27,0,259.9862548,-116.0258723,32.72223141
690,27,0,259.9999996,-116.0258796,32.72221841
691,28,0,160.0035427,-115.9988206,32.72516429
692,28,0,159.999814,-115.9987327,32.72510574
693,28,0,159.999532,-115.99864,32.72505252
694,28,0,159.9990571,-115.9986423,32.72495294
695,28,0,160.0004219,-115.9986171,32.72485278
696,28,0,159.9973303,-115.9985592,32.724764
697,28,0,159.9987657,-115.998467,32.72471053
698,28,0,160.0008446,-115.998383,32.72464544
699,28,0,160.0044828,-115.9983031,32.7245761
700,28,0,160.0009333,-115.9982008,32.7245511
701,28,0,160.0110885,-115.9981092,32.72450172
702,28,0,159.9998128,-115.9980636,32.7244061
703,28,0,160.0073845,-115.9979932,32.72432813
704,28,0,159.9941453,-115.9979087,32.72427695
705,28,0,159.9928516,-115.9978443,32.72419754
706,28,0,159.9915978,-115.997804,32.72410374
707,28,0,159.9983284,-115.9978271,32.72400947
708,28,0,159.9998912,-115.9977317,32.7239666
709,28,0,160.0014267,-115.9976781,32.72388027
710,28,0,159.9993891,-115.9976339,32.723784
711,28,0,159.9996858,-115.9975883,32.72368874
712,28,0,160.0065455,-115.9975153,32.72361838
